INFO 2025-03-10 14:50:42,799 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-10 14:50:42,799 autoreload Waiting for apps ready_event.
DEBUG 2025-03-10 14:50:44,724 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-10 14:50:44,737 autoreload Watching dir C:\Users\Elsy Thomas\project.webpage\myproject\templates with glob **/*.
DEBUG 2025-03-10 14:50:44,737 autoreload Watching dir C:\Users\Elsy Thomas\project.webpage\myproject\myapp\templates with glob **/*.
DEBUG 2025-03-10 14:50:44,737 autoreload Watching dir C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-03-10 14:50:44,751 autoreload Watching dir C:\Users\Elsy Thomas\project.webpage\myproject\locale with glob **/*.mo.
DEBUG 2025-03-10 14:50:44,753 autoreload Watching dir C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-03-10 14:50:44,754 autoreload Watching dir C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2025-03-10 14:50:44,756 autoreload Watching dir C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-03-10 14:50:44,757 autoreload Watching dir C:\Users\Elsy Thomas\project.webpage\myproject\myapp\locale with glob **/*.mo.
DEBUG 2025-03-10 14:50:44,880 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2025-03-10 14:50:44,880 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2025-03-10 14:50:44,899 utils (0.016) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2025-03-10 14:50:44,905 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauth2client\_pkce.py first seen with mtime 1741160251.0360844
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\descriptors\base.py first seen with mtime 1740395922.9701128
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\utils.py first seen with mtime 1739180167.0751898
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\constants.py first seen with mtime 1739180166.8492658
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\library.py first seen with mtime 1739180167.0524163
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1739180166.1933699
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django_redis\util.py first seen with mtime 1740986835.4278064
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\array_algos\masked_reductions.py first seen with mtime 1732533727.3118987
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\__init__.py first seen with mtime 1732533713.0825558
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\re\_constants.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 14:50:45,660 autoreload File C:\Users\Elsy Thomas\project.webpage\myproject\myapp\utils.py first seen with mtime 1741170277.0464697
DEBUG 2025-03-10 14:50:45,671 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\templatetags\rest_framework.py first seen with mtime 1735542824.3703759
DEBUG 2025-03-10 14:50:45,672 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\decorators.py first seen with mtime 1739180167.08324
DEBUG 2025-03-10 14:50:45,673 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\client.py first seen with mtime 1739180167.065461
DEBUG 2025-03-10 14:50:45,673 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,674 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1739180166.7951746
DEBUG 2025-03-10 14:50:45,675 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\lib.cp312-win_amd64.pyd first seen with mtime 1732533729.333624
DEBUG 2025-03-10 14:50:45,675 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\contextvars.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,676 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\defaults.py first seen with mtime 1738664113.436539
DEBUG 2025-03-10 14:50:45,676 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\tseries\offsets.py first seen with mtime 1732533729.1498263
DEBUG 2025-03-10 14:50:45,677 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\transport\_http_client.py first seen with mtime 1741160251.8274589
DEBUG 2025-03-10 14:50:45,678 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\jwt.py first seen with mtime 1741160251.7881088
DEBUG 2025-03-10 14:50:45,680 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\chart\chartspace.py first seen with mtime 1740395922.9232426
DEBUG 2025-03-10 14:50:45,680 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\chart\reader.py first seen with mtime 1740395922.9372537
DEBUG 2025-03-10 14:50:45,681 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\http\client.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,682 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\json\_json.py first seen with mtime 1732533727.548286
DEBUG 2025-03-10 14:50:45,682 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\redis\retry.py first seen with mtime 1740986833.5795288
DEBUG 2025-03-10 14:50:45,683 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\utils.py first seen with mtime 1739180166.756534
DEBUG 2025-03-10 14:50:45,683 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\http.py first seen with mtime 1739180167.0905466
DEBUG 2025-03-10 14:50:45,685 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\pivot\fields.py first seen with mtime 1740395923.0049691
DEBUG 2025-03-10 14:50:45,686 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth2\rfc6749\clients\service_application.py first seen with mtime 1741160244.6382804
DEBUG 2025-03-10 14:50:45,686 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\function_base.py first seen with mtime 1732533712.9264276
DEBUG 2025-03-10 14:50:45,687 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\unittest\loader.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 14:50:45,687 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\reshape\tile.py first seen with mtime 1732533727.4376392
DEBUG 2025-03-10 14:50:45,688 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\redis\utils.py first seen with mtime 1740986833.5835254
DEBUG 2025-03-10 14:50:45,689 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\tools\times.py first seen with mtime 1732533727.45387
DEBUG 2025-03-10 14:50:45,690 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\tseries\api.py first seen with mtime 1732533729.141751
DEBUG 2025-03-10 14:50:45,690 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\idna\idnadata.py first seen with mtime 1739175825.9739244
DEBUG 2025-03-10 14:50:45,691 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\mysql\schema.py first seen with mtime 1739180166.814058
DEBUG 2025-03-10 14:50:45,691 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\apply.py first seen with mtime 1732533727.2021668
DEBUG 2025-03-10 14:50:45,692 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\uri_validate.py first seen with mtime 1741160244.5945234
DEBUG 2025-03-10 14:50:45,692 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_typing\_shape.py first seen with mtime 1732533713.3345597
DEBUG 2025-03-10 14:50:45,693 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\common.py first seen with mtime 1732533727.2021668
DEBUG 2025-03-10 14:50:45,693 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\json\_table_schema.py first seen with mtime 1732533727.548286
DEBUG 2025-03-10 14:50:45,694 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1739180166.739684
DEBUG 2025-03-10 14:50:45,695 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1739180166.746256
DEBUG 2025-03-10 14:50:45,696 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\arrays\masked.py first seen with mtime 1732533727.264938
DEBUG 2025-03-10 14:50:45,697 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\cli.py first seen with mtime 1732095311.9222722
DEBUG 2025-03-10 14:50:45,698 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauth2client\transport.py first seen with mtime 1741160251.0530808
DEBUG 2025-03-10 14:50:45,701 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\util\__init__.py first seen with mtime 1732533729.157998
DEBUG 2025-03-10 14:50:45,702 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\ops\dispatch.py first seen with mtime 1732533727.406397
DEBUG 2025-03-10 14:50:45,702 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\workbook\properties.py first seen with mtime 1740395923.0503345
DEBUG 2025-03-10 14:50:45,703 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth2\rfc8628\__init__.py first seen with mtime 1741160244.661991
DEBUG 2025-03-10 14:50:45,704 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\arrays\sparse\__init__.py first seen with mtime 1732533727.2962286
DEBUG 2025-03-10 14:50:45,705 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\generic.py first seen with mtime 1732533727.3462746
DEBUG 2025-03-10 14:50:45,705 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\matrixlib\defmatrix.py first seen with mtime 1732533712.4541965
DEBUG 2025-03-10 14:50:45,706 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth2\rfc6749\request_validator.py first seen with mtime 1741160244.6262565
DEBUG 2025-03-10 14:50:45,706 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\connection.py first seen with mtime 1739180167.0792148
DEBUG 2025-03-10 14:50:45,707 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1739180167.0772033
DEBUG 2025-03-10 14:50:45,708 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\tslibs\period.cp312-win_amd64.pyd first seen with mtime 1732533729.6159742
DEBUG 2025-03-10 14:50:45,708 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\wsgi.py first seen with mtime 1739180166.7386758
DEBUG 2025-03-10 14:50:45,708 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\reshape\encoding.py first seen with mtime 1732533727.4220033
DEBUG 2025-03-10 14:50:45,709 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\encodings\aliases.py first seen with mtime 1722958350.0
