INFO 2025-03-10 13:18:10,639 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-10 13:18:10,641 autoreload Waiting for apps ready_event.
DEBUG 2025-03-10 13:18:13,016 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-10 13:18:13,031 autoreload Watching dir C:\Users\Elsy Thomas\project.webpage\myproject\templates with glob **/*.
DEBUG 2025-03-10 13:18:13,031 autoreload Watching dir C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-03-10 13:18:13,031 autoreload Watching dir C:\Users\Elsy Thomas\project.webpage\myproject\myapp\templates with glob **/*.
DEBUG 2025-03-10 13:18:13,031 autoreload Watching dir C:\Users\Elsy Thomas\project.webpage\myproject\locale with glob **/*.mo.
DEBUG 2025-03-10 13:18:13,031 autoreload Watching dir C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-03-10 13:18:13,031 autoreload Watching dir C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2025-03-10 13:18:13,031 autoreload Watching dir C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-03-10 13:18:13,031 autoreload Watching dir C:\Users\Elsy Thomas\project.webpage\myproject\myapp\locale with glob **/*.mo.
DEBUG 2025-03-10 13:18:13,163 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2025-03-10 13:18:13,163 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2025-03-10 13:18:13,163 utils (0.000) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2025-03-10 13:18:13,183 utils (0.016) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\__init__.py first seen with mtime 1732533729.174533
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\lib.cp312-win_amd64.pyd first seen with mtime 1732533729.333624
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\array_utils.py first seen with mtime 1732533712.26549
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\zipfile\__init__.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_typing\_char_codes.py first seen with mtime 1732533713.326552
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\_ufunc_config.py first seen with mtime 1732533713.0674317
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth1\rfc5849\parameters.py first seen with mtime 1741160244.600528
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\base.py first seen with mtime 1732533727.3907642
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\xml\__init__.py first seen with mtime 1740395923.0852115
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\xml\functions.py first seen with mtime 1740395923.0872045
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_common.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\formatting\formatting.py first seen with mtime 1740395922.9940152
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\fields.py first seen with mtime 1739180166.902495
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\ssltransport.py first seen with mtime 1739175824.446309
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\utils\field_mapping.py first seen with mtime 1735542824.3703759
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\project.webpage\myproject\myapp\apps.py first seen with mtime 1740117793.1320596
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\_compression.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\google_auth_oauthlib\__init__.py first seen with mtime 1741160253.2450788
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyparsing\actions.py first seen with mtime 1741160243.322942
DEBUG 2025-03-10 13:18:13,801 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\choices.py first seen with mtime 1739180167.0792148
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth2\rfc6749\endpoints\__init__.py first seen with mtime 1741160244.6411068
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\text.py first seen with mtime 1739180167.0985744
